Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
VolumetricOR: A New Approach to Simulate Surgical Interventions in Virtual Reality for Training and Education,"Queisner, M.; Pogorzhelskiy, M.; Remde, C.; Pratschke, J.; Sauer, I. M.","Background: Surgical training is primarily carried out through observation during assistance or on-site classes, by watching videos as well as by different formats of simulation. The simulation of physical presence in the operating theatre in virtual reality might complement these necessary experiences. A prerequisite is a new education concept for virtual classes that communicates the unique workflows and decision-making paths of surgical health professions (i.e. surgeons, anesthesiologists and surgical assistants) in an authentic and immersive way. For this project, media scientists, designers and surgeons worked together to develop the foundations for new ways of conveying knowledge using virtual reality in surgery. Material(s) and Method(s): A technical workflow to record and present volumetric videos of surgical interventions in a photorealistic virtual operating room was developed. Situated in the virtual reality demonstrator called VolumetricOR, users can experience and navigate through surgical workflows as if they are physically present. The concept is compared with traditional video-based formats of digital simulation in surgical training. Result(s): VolumetricOR let trainees experience surgical action and workflows (a) three-dimensionally, (b) from any perspective and (c) in real scale. This improves the linking of theoretical expertise and practical application of knowledge and shifts the learning experience from observation to participation. Discussion(s): Volumetric training environments allow trainees to acquire procedural knowledge before going to the operating room and could improve the efficiency and quality of the learning and training process for professional staff by communicating techniques and workflows when the possibilities of training on-site are limited. Copyright © The Author(s) 2022.",2022,June,Surgical Innovation,29(3),,406-415,2015073636,,,#4147,Queisner 2022,,
Teaching basic fiberoptic intubation skills in a simulator: initial learning and skills decay,"K. Latif R; Bautista, A.; Duan, X.; Neamtu, A.; Wu, D.; Wadhwa, A.; Akca, O.","Purpose: Generally, novices are taught fiberoptic intubation on patients by attending anesthesiologists; however, this approach raises patient safety concerns. Patient safety should improve if novice learners are trained for basic skills on simulators. In this educational study, we assessed the time and number of attempts required to train novices in fiberoptic bronchoscopy and fiberoptic intubation on simulators. Because decay in skills is inevitable, we also assessed fiberoptic bronchoscopy and fiberoptic intubation skill decay and the amount of effort required to regain fiberoptic bronchoscopy skill. Method(s): First, we established attempt- and duration-based quantitative norms for reaching skill proficiency for fiberoptic bronchoscopy and fiberoptic intubation by experienced anesthesiologists (n = 8) and prepared an 11-step checklist and a 5-point global rating scale for assessment. Novice learners (n = 15) were trained to reach the established skill proficiency in a Virtual Reality simulator for fiberoptic bronchoscopy skills and a Human Airway Anatomy Simulator for fiberoptic intubation skills. Two months later, novices were reassessed to determine decay in learned skills and the required time to retrain them to fiberoptic bronchoscopy proficiency level. Result(s): Proficiency in fiberoptic bronchoscopy skill level was achieved with 11 +/- 5 attempts and after 658 +/- 351 s. After 2 months without practice, the time taken by the novices to successful fiberoptic bronchoscopy on the Virtual Reality simulator increased from 41 +/- 8 to 68 +/- 31 s (P = 0.0138). Time and attempts required to retrain them were 424 +/- 230 s and 9.1 +/- 4.6 attempts, respectively. Conclusion(s): Novices were successfully trained to proficiency skill level. Although fiberoptic bronchoscopy skills started to decay within 2 months, the re-training time was shorter. Copyright © 2015, Japanese Society of Anesthesiologists.",2016,1-Feb,Journal of Anesthesia,30(1),,19-Dec,606587459,,,#4153,K 2016,,
Development and Validation of a Virtual Reality Haptic Femoral Nailing Simulator,"Racy, M.; Barrow, A.; Tomlinson, J.; Bello, F.","Objective: To create a virtual reality (VR) femoral nailing simulator combining haptics and image intensifier functionality and then carry out validation studies to assess its educational value. Design(s): The simulator consisted of a 3D virtual environment, a haptic device and 3D printed drill handle and a VR headset. The environment was created using a video game development engine, interfaced with plugins to allow haptic feedback and image intensifier functionality. Two tasks were created within the simulator as part of an antegrade femoral intramedullary (IM) nail procedure: proximal guidewire entry and distal locking.For the validation study, participants performed the above tasks on the simulator. Metrics were collected including time taken, number of X-rays and tool distance travelled and used to assess construct validity. A questionnaire was then completed to assess authenticity and content validity. Setting(s): Simulator development in centre for simulation and engagement science laboratory. Validation study in a teaching hospital environment. Participant(s): Orthopedic specialist trainees and consultants. Result(s): Surgeon experience (number of IM nails performed/postgraduate year) correlated with significantly improved task performance. More experienced surgeons took less time, used fewer X-rays and had greater economy of movement than less experienced surgeons. Authenticity and content validity were well rated, with criticisms primarily due to hardware limitations. Conclusion(s): To our knowledge this is the first orthopedic simulator to combine immersive VR with haptics and full image intensifier functionality. By combining multiple aspects of surgical practice within a single device, we aimed to improve participant immersion and educational value. Our work so far has focused on technical skills, demonstrating good authenticity, content and construct validity, however our findings show promise in other applications such as nontechnical skill development and assessment. Copyright © 2020 Association of Program Directors in Surgery",2021,1-May,Journal of Surgical Education,78(3),,1013-1023,2008479870,,,#4159,Racy 2021,,
"Feasibility, effectiveness and transferability of a novel mastery-based virtual reality robotic training platform for general surgery residents","Radi, I.; Tellez, J. C.; Alterio, R. E.; Scott, D. J.; Sankaranarayanan, G.; Nagaraj, M. B.; Hogg, M. E.; Zeh, H. J.; Polanco, P. M.","Background: The annual number of robotic surgical procedures is on the rise. Robotic surgery requires unique skills compared to other surgical approaches. Simulation allows basic robot skill acquisition and enhances patient safety. The purpose of this study was to evaluate the feasibility, effectiveness, and transferability of a mastery-based curriculum using a new virtual reality (VR) robotic simulator for surgery resident training. Method(s): Nineteen PGY2s and 22 PGY4s were enrolled. Residents completed a pretest and posttest consisting of five VR and three previously validated inanimate tasks. Training included practicing 33 VR tasks until a total score >= 90% (""mastery"") was achieved using automated metrics (time, economy of motion). Inanimate performance was evaluated by two trained, blinded raters using video review metrics (time, errors, and modified OSATS). Outcomes were defined as: curriculum feasibility (completion rate, training time, repetitions), training effectiveness (pre/post training skill improvement), and skill transferability (skill transfer to validated inanimate drills). Wilcoxon signed-rank and Mann-Whitney U tests were used; median (IQR) reported. Result(s): Thirty-four of 41 residents (83%) achieved mastery on all 33 VR tasks; median training time was 7 h (IQR: 5'26-8'52). Pretest vs. post-test performance improved (all p < 0.001) according to all VR and Inanimate metrics for both PGY2 and PGY4 residents. Significant pretest performance differences were observed between PGY2 and PGY4 residents for VR but not inanimate tasks; no PGY2 vs. PGY4 posttest performance differences were observed for both VR and inanimate tasks. Conclusion(s): This mastery-based VR curriculum was associated with a high completion rate and excellent feasibility. Significant performance improvements were noted for both the VR and inanimate tasks, supporting training effectiveness and skill transferability. Additional studies examining validity evidence may help further refine this curriculum. Copyright © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",2022,,Surgical Endoscopy.,,,,2015117175,,,#4160,Radi 2022,,
Validation of a virtual reality-based simulator for shoulder arthroscopy,"Rahm, S.; Germann, M.; Hingsammer, A.; Wieser, K.; Gerber, C.","PURPOSE: This study was to determine face and construct validity of a new virtual reality-based shoulder arthroscopy simulator which uses passive haptic feedback. METHODS: Fifty-one participants including 25 novices (<20 shoulder arthroscopies) and 26 experts (>100 shoulder arthroscopies) completed two tests: for assessment of face validity, a questionnaire was filled out concerning quality of simulated reality and training potential using a 7-point Likert scale (range 1-7). Construct validity was tested by comparing simulator metrics (operation time in seconds, camera and grasper pathway in centimetre and grasper openings) between novices and experts test results. RESULTS: Overall simulated reality was rated high with a median value of 5.5 (range 2.8-7) points. Training capacity scored a median value of 5.8 (range 3-7) points. Experts were significantly faster in the diagnostic test with a median of 91 (range 37-208) s than novices with 1177 (range 81-383) s (p < 0.0001) and in the therapeutic test 102 (range 58-283) s versus 229 (range 114-399) s (p < 0.0001). Similar results were seen in the other metric values except in the camera pathway in the therapeutic test. CONCLUSION: The tested simulator achieved high scores in terms of realism and training capability. It reliably discriminated between novices and experts. Further improvements of the simulator, especially in the field of therapeutic arthroscopy, might improve its value as training and assessment tool for shoulder arthroscopy skills.II.",2016,1-May,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",24(5),,1730-1737,614554352,,,#4165,Rahm 2016,,
Efficacy of standardized training on a virtual reality simulator to advance knee and shoulder arthroscopic motor skills,"Rahm, S.; Wieser, K.; Bauer, D. E.; Waibel, F. W.; Meyer, D. C.; Gerber, C.; Fucentese, S. F.","Background: Most studies demonstrated, that training on a virtual reality based arthroscopy simulator leads to an improvement of technical skills in orthopaedic surgery. However, how long and what kind of training is optimal for young residents is unknown. In this study we tested the efficacy of a standardized, competency based training protocol on a validated virtual reality based knee- and shoulder arthroscopy simulator. Method(s): Twenty residents and five experts in arthroscopy were included. All participants performed a test including knee -and shoulder arthroscopy tasks on a virtual reality knee- and shoulder arthroscopy simulator. The residents had to complete a competency based training program. Thereafter, the previously completed test was retaken. We evaluated the metric data of the simulator using a z-score and the Arthroscopic Surgery Skill Evaluation Tool (ASSET) to assess training effects in residents and performance levels in experts. Result(s): The residents significantly improved from pre- to post training in the overall z-score: - 9.82 (range, - 20.35 to - 1.64) to - 2.61 (range, - 6.25 to 1.5); p < 0.001. The overall ASSET score improved from 55 (27 to 84) percent to 75 (48 to 92) percent; p < 0.001. The experts, however, achieved a significantly higher z-score in the shoulder tasks (p < 0.001 and a statistically insignificantly higher z-score in the knee tasks with a p = 0.921. The experts mean overall ASSET score (knee and shoulder) was significantly higher in the therapeutic tasks (p < 0.001) compared to the residents post training result. Conclusion(s): The use of a competency based simulator training with this specific device for 3-5 h is an effective tool to advance basic arthroscopic skills of resident in training from 0 to 5 years based on simulator measures and simulator based ASSET testing. Therefore, we conclude that this sort of training method appears useful to learn the handling of the camera, basic anatomy and the triangulation with instruments. Copyright © 2018 The Author(s).",2018,16-May,BMC Musculoskeletal Disorders,19(1) (no pagination),,,622142706,,,#4166,Rahm 2018,,
Performance of medical students on a virtual reality simulator for knee arthroscopy: an analysis of learning curves and predictors of performance,"Rahm, S.; Wieser, K.; Wicki, I.; Holenstein, L.; Fucentese, S. F.; Gerber, C.","BACKGROUND: Ethical concerns for surgical training on patients, limited working hours with fewer cases per trainee and the potential to better select talented persons for arthroscopic surgery raise the interest in simulator training for arthroscopic surgery. It was the purpose of this study to analyze learning curves of novices using a knee arthroscopy simulator and to correlate their performance with potentially predictive factors. METHODS: Twenty medical students completed visuospatial tests and were then subjected to a simulator training program of eight 30 min sessions. Their test results were quantitatively correlated with their simulator performance at initiation, during and at the end of the program. RESULTS: The mean arthroscopic performance score (z-score in points) at the eight test sessions were 1. -35 (range, -126 to -5) points, 2. -16 (range, -30 to -2), 3. -11 (range, -35 to 4), 4. -3 (range, -16 to 5), 5. -2 (range, -28 to 7), 6. 1 (range, -18 to 8), 7. 2 (range, -9 to 8), 8. 2 (range, -4 to 7). Scores improved significantly from sessions 1 to 2 (p=0.001), 2 to 3 (p=0.052) and 3 to 4 (p=0.001) but not thereafter. None of the investigated parameters predicted performance or development of arthroscopic performance. CONCLUSION: Novices improve significantly within four 30 min test virtual arthroscopy knee simulator training but not thereafter within the setting studied. No factors, predicting talent or speed and magnitude of improvement of skills could be identified.",2016,25-Mar,BMC surgery,16,,14,616146002,,,#4167,Rahm 2016,,
Teaching binocular indirect ophthalmoscopy to novice residents using an augmented reality simulator,"Rai, A. S.; Mavrikakis, E.; Lam, W. C.","Objective To compare the traditional teaching approach of binocular indirect ophthalmoscopy (BIO) to the EyeSI augmented reality (AR) BIO simulator. Design Prospective randomized control trial. Participants 28 post-graduate year one (PGY1) ophthalmology residents. Methods Residents were recruited at the 2012 Toronto Ophthalmology Residents Introductory Course (TORIC). 15 were randomized to conventional teaching (Group 1), and 13 to augmented reality simulator training (Group 2). 3 vitreoretinal fellows were enrolled to serve as experts. Evaluations were completed on the simulator, with 3 tasks, and outcome measures were total raw score, total time elapsed, and performance. Results Following conventional training, Group 1 residents were outperformed by vitreoretinal fellows with respect to all 3 outcome measures. Following AR training, Group 2 residents demonstrated superior total scores and performance compared to Group 1 residents. Once the Group 1 residents also completed the AR BIO training, there was a significant improvement compared to their baseline scores, and were now on par with Group 2 residents. Conclusions This study provides construct validity for the EyeSI AR BIO simulator and demonstrates that it may be superior to conventional BIO teaching for novice ophthalmology residents. Copyright © 2017 Canadian Ophthalmological Society",2017,October,Canadian Journal of Ophthalmology,52(5),,430-434,615613756,,,#4171,Rai 2017,,
Competency based training in robotic surgery: benchmark scores for virtual reality robotic simulation,"Raison, N.; Ahmed, K.; Fossati, N.; Buffi, N.; Mottrie, A.; Dasgupta, P.; Van Der Poel, H.","Objectives: To develop benchmark scores of competency for use within a competency based virtual reality (VR) robotic training curriculum. Subjects and Methods: This longitudinal, observational study analysed results from nine European Association of Urology hands-on-training courses in VR simulation. In all, 223 participants ranging from novice to expert robotic surgeons completed 1565 exercises. Competency was set at 75% of the mean expert score. Benchmark scores for all general performance metrics generated by the simulator were calculated. Assessment exercises were selected by expert consensus and through learning-curve analysis. Three basic skill and two advanced skill exercises were identified. Result(s): Benchmark scores based on expert performance offered viable targets for novice and intermediate trainees in robotic surgery. Novice participants met the competency standards for most basic skill exercises; however, advanced exercises were significantly more challenging. Intermediate participants performed better across the seven metrics but still did not achieve the benchmark standard in the more difficult exercises. Conclusion(s): Benchmark scores derived from expert performances offer relevant and challenging scores for trainees to achieve during VR simulation training. Objective feedback allows both participants and trainers to monitor educational progress and ensures that training remains effective. Furthermore, the well-defined goals set through benchmarking offer clear targets for trainees and enable training to move to a more efficient competency based curriculum. Copyright © 2016 The Authors BJU International © 2016 BJU International Published by John Wiley & Sons Ltd",2017,1-May,BJU International,119(5),,804-811,613780682,,,#4175,Raison 2017,,
Virtually Competent: A Comparative Analysis of Virtual Reality and Dry-Lab Robotic Simulation Training,"Raison, N.; Gavazzi, A.; Abe, T.; Ahmed, K.; Dasgupta, P.","Background: Virtual reality (VR) and dry-lab simulation have been widely validated for robotic surgical training. Both modalities are used during the early stages of the learning curve, yet, no comparative analysis of the two modalities has been undertaken. This study compares the effectiveness of VR and dry-lab simulation for basic robotic surgical skill training. Method(s): A comparative study of 43 robotic novices was undertaken at two centers in the United Kingdom and Italy. Participants were allocated to either VR or dry-lab simulation and completed a robotic simulation training program. On completion, all participants were assessed by performing a urethrovesical anastomosis on a synthetic model. Technical proficiency was measured by two trained raters using the Global Evaluative Assessment of Robotic Skills (GEARS) tool. All participants completed a qualitative posttraining assessment questionnaire. Result(s): Baseline characteristics were equal between the two groups. Both VR and dry-lab training led to a significant improvement in technical proficiency. Overall mean GEARS scores increased by 5.6 and 2.5 following dry-lab and VR simulation training, respectively (p = 0.034). Dry-lab training showed significantly greater improvements than VR simulation, but only after the third training session. Both techniques were highly rated by participants. Conclusion(s): Both VR and dry-lab simulation were effective in improving robotic surgical skill but were not equal. For more advanced skill training, dry-lab training was found to be superior to VR simulation. Dry-lab training offers specific benefits to robotic surgical training and should remain a principal component of the simulation curriculum. © Copyright 2020, Mary Ann Liebert, Inc.",2020,March,Journal of Endourology,34(3),,379-384,631335190,,,#4176,Raison 2020,,
Procedural virtual reality simulation training for robotic surgery: a randomised controlled trial,"Raison, N.; Harrison, P.; Abe, T.; Aydin, A.; Ahmed, K.; Dasgupta, P.","Background: Virtual reality (VR) training is widely used for surgical training, supported by comprehensive, high-quality validation. Technological advances have enabled the development of procedural-based VR training. This study assesses the effectiveness of procedural VR compared to basic skills VR in minimally invasive surgery. Method(s): 26 novice participants were randomised to either procedural VR (n = 13) or basic VR simulation (n = 13). Both cohorts completed a structured training programme. Simulator metric data were used to plot learning curves. All participants then performed parts of a robotic radical prostatectomy (RARP) on a fresh frozen cadaver. Performances were compared against a cohort of 9 control participants without any training experience. Performances were video recorded and assessed blindly using GEARS post hoc. Result(s): Learning curve analysis demonstrated improvements in technical skill for both training modalities although procedural training was associated with greater training effects. Any VR training resulted in significantly higher GEARS scores than no training (GEARS score 11.3 +/- 0.58 vs. 8.8 +/- 2.9, p = 0.002). Procedural VR training was found to be more effective than both basic VR training and no training (GEARS 11.9 +/- 2.9 vs. 10.7 +/- 2.8 vs. 8.8 +/- 1.4, respectively, p = 0.03). Conclusion(s): This trial has shown that a structured programme of procedural VR simulation is effective for robotic training with technical skills successfully transferred to a clinical task in cadavers. Further work to evaluate the role of procedural-based VR for more advanced surgical skills training is required. Copyright © 2020, The Author(s).",2021,December,Surgical Endoscopy,35(12),,6897-6902,2007745380,,,#4177,Raison 2021,,
A virtual reality simulation model of spinal ultrasound: Role in teaching spinal sonoanatomy,"Ramlogan, R.; Niazi, A. U.; Jin, R.; Johnson, J.; Chan, V. W.; Perlas, A.","Background and Objectives: Ultrasound assessment of the lumbar spine improves the success of spinal and epidural anesthesia, especially for patients with underlying difficult anatomy. To assist with the teaching and learning of ultrasound-guided neuraxial anesthesia, we have created an online interactive educational model (http://www.usra.ca/vspine.php and http://pie.med.utoronto.ca/vspine). The aim of the current study was to determine whether the virtual spine model improved the knowledge of neuraxial anatomy and sonoanatomy. Method(s): After obtaining ethics board approval and written participant consent, 14 anesthesia trainees with no prior experience with spine ultrasound imaging were included in this study. Construct validity was assessed using a pretest/posttest design to measure the knowledge acquired from self-study of the virtual spine simulationmodules. Two tests (A and B) with 20 multiple-choice questions were used either for the pretest or posttest, at random in order to account for possible differences in difficulty between the 2 tests. These tests were administered immediately before and after a 1-hour training session using the spine ultrasound model. Result(s): Fourteen anesthesia trainees completed the study. Seven used test A as the pretest (group A), and 7 used test B as the pretest (group B). Both groups showed a statistically significant improvement (P < 0.05) in test scores after a 1-hour session with the spine ultrasound model. The mean scores were 55% (SD, 11.2%) on the pretest and 77% (SD, 8.7%) on the posttest. Conclusion(s): The study demonstrated that after 1 hour of self-study by the trainees on the spine ultrasound model test scores improved by 40%. Copyright © 2017 American Society of Regional Anesthesia and Pain Medicine.",2017,,Regional Anesthesia and Pain Medicine,42(2),,217-222,614578015,,,#4185,Ramlogan 2017,,
Virtual reality memory palace: An innovative dermatology education modality,"Ranpariya, V. K.; Huang, W. W.; Feldman, S. R.",,2022,June,Journal of the American Academy of Dermatology,86(6),,1435-1437,2013605100,,,#4192,Ranpariya 2022,,
A Virtual Reality Curriculum for Pediatric Residents Decreases Rates of Influenza Vaccine Refusal,"Real, F. J.; DeBlasio, D.; Beck, A. F.; Ollberding, N. J.; Davis, D.; Cruse, B.; Samaan, Z.; McLinden, D.; Klein, M. D.","Objective Influenza vaccine hesitancy is common in the primary care setting. Though physicians can affect caregivers' attitudes toward vaccination, physicians report uneasiness discussing vaccine hesitancy. Few studies have targeted physician-patient communication training as a means to decrease vaccination refusal. Methods An immersive virtual reality (VR) curriculum was created to teach pediatric residents communication skills when discussing influenza vaccine hesitancy. This pilot curriculum consisted of 3 VR simulations during which residents counseled graphical character representatives (avatars) who expressed vaccine hesitancy. Participants were randomized to the intervention (n = 24) or control (n = 21) group. Only residents in the intervention group underwent the VR curriculum. Impact of the curriculum was assessed through difference in influenza vaccine refusal rates between the intervention and control groups in the 3 months after the VR curriculum. Results Participants included postgraduate level (PL) 2 and PL3 pediatric residents. All eligible residents (n = 45) participated; the survey response rate was 100%. In patients aged 6 to 59 months, residents in the intervention group had a decreased rate of influenza vaccination refusal in the postcurriculum period compared to the control group (27.8% vs 37.1%; P = .03). Conclusions Immersive VR may be an effective modality to teach communication skills to medical trainees. Next steps include evaluation of the curriculum in a larger, multisite trial. Copyright © 2017 Academic Pediatric Association",2017,May,Academic Pediatrics,17(4),,431-435,614947975,,,#4210,Real 2017,,
Resident perspectives on communication training that utilizes immersive virtual reality,"Real, F. J.; DeBlasio, D.; Ollberding, N. J.; Davis, D.; Cruse, B.; McLinden, D.; Klein, M. D.","Background: Communication skills can be difficult to teach and assess in busy outpatient settings. These skills are important for effective counseling such as in cases of influenza vaccine hesitancy. It is critical to consider novel educational methods to supplement current strategies aimed at teaching relational skills. Methods: An immersive virtual reality (VR) curriculum on addressing influenza vaccine hesitancy was developed using Kern's six-step approach to curriculum design. The curriculum was meant to teach best-practice communication skills in cases of influenza vaccine hesitancy. Eligible participants included postgraduate level (PL) 2 and PL-3 pediatric residents (n = 24). Immediately following the curriculum, a survey was administered to assess residents' attitudes toward the VR curriculum and perceptions regarding the effectiveness of VR in comparison to other educational modalities. A survey was administered 1 month following the VR curriculum to assess trainee-perceived impact of the curriculum on clinical practice. Results: All eligible residents (n = 24) completed the curriculum. Ninety-two percent (n = 22) agreed or strongly agreed that VR simulations were like real-life patient encounters. Seventy-five percent (n = 18) felt that VR was equally effective to standardized patient (SP) encounters and less effective than bedside teaching (P < 0.001). At 1-month follow-up, 67% of residents (n = 16) agreed or strongly agreed that the VR experience improved how they counseled families in cases of influenza vaccine hesitancy. Discussion: An immersive VR curriculum at our institution was well-received by learners, and residents rated VR as equally effective as SP encounters. As such, immersive VR may be a promising modality for communication training.",2017,1-Sep,"Education for health (Abingdon, England)",30(3),,228-231,624098568,,,#4211,Real 2017,,
Impact of a Virtual Reality Curriculum on Human Papillomavirus Vaccination: A Pilot Trial,"Real, F. J.; Ollberding, N. J.; Meisman, A. R.; DeBlasio, D. J.; Pero, M. B.; Davis, D.; Cruse, B.; Klein, M. D.; Kahn, J. A.; Rosen, B. L.","Although the strongest predictor of human papillomavirus (HPV) vaccination is a high-quality recommendation, physicians often provide weak recommendations. Thus, the authors developed Virtual Immersive Communication Training on Recommending Immunizations (VICTORI), a virtual reality (VR)-based intervention that provided physicians the opportunity to deliberately practice recommendation behaviors. VICTORI included VR simulations during which participants counseled caregiver avatars hesitant to vaccinate. Before participation in VICTORI, participants reviewed a smartphone application on recommendation behaviors. A nonrandomized control trial of VICTORI was conducted with licensed and resident physicians. The intervention group completed the application and VICTORI simulations, whereas a comparison group completed only the application. The hypothesis was that HPV vaccination rates would increase for patients in the intervention group. The preintervention period was defined as the 6 months before allocated training (February 1, 2020-July 31, 2020), and the postintervention period was the 6 months after (October 1, 2020-March 31, 2021). The primary outcome was a change in the rates of human papillomavirus vaccine initiation among eligible patients presenting to clinic before and after. Of 142 eligible physicians, 134 (94%) chose to participate, with 93 of /97 (96%) intervention and 30 of 37 (81%) comparison participants completing study protocols. There was a statistically significant increase in patients' HPV vaccine initiation rates after training within the intervention group (54.3%-72.4%; 18.1% difference [95% CI=11.0, 25.8]; p<0.001) but not within the comparison group (59.5%-63.4%; 3.9% difference [95% CI= -11.0, 19.0]; p=0.609). In conclusion, HPV vaccine initiation increased after VR training, and further study is warranted. Copyright © 2022 American Journal of Preventive Medicine",2022,,American Journal of Preventive Medicine.,,,,2019051741,,,#4213,Real 2022,,
Virtual reality: an effective tool for teaching root canal anatomy to undergraduate dental students - a preliminary study,"Reymus, M.; Liebermann, A.; Diegritz, C.","AIM: To introduce virtual reality (VR) into the endodontic curriculum for teaching root canal anatomy and to evaluate the effectiveness of this new method on third-year undergraduate students. METHODOLOGY: Extracted human teeth were digitized using a CBCT scan and converted into STL files. The corresponding files were either 3D printed or imported into a VR software program. Subsequently, forty-two third-year undergraduate dental students in preclinical training were asked to respond to a questionnaire analysing their ability to detect all the anatomic features of the replica teeth and their comprehension of the underlying root canal anatomy. The investigation was based on three different methods: two-dimensional radiography, CBCT scanning and VR simulation. Data were analysed using McNemar's and binomial test, and the level of significance was set to 0.05 (P = 0.05). RESULT(S): Students reported that CBCT and VR allowed them to detect all anatomic features more than radiography (P < 0.001 - P = 0.049). Because it allowed improved comprehension of root canal anatomy, the VR simulation was considered better than CBCT scanning and radiography. Most of the students adapted well to the VR simulation. CONCLUSION(S): Dental students greatly appreciated the integration of VR simulation into the endodontic curriculum. From a didactic point of view, VR has considerable advantages over three-dimensional reconstructions and two-dimensional radiographs when teaching root canal anatomy. Copyright © 2020 The Authors. International Endodontic Journal published by John Wiley & Sons Ltd on behalf of British Endodontic Society.",2020,1-Nov,International endodontic journal,53(11),,1581-1587,632536741,,,#4244,Reymus 2020,,
RiNeo MR: A mixed-reality tool for newborn life support training,"Ricci, S.; Mobilio, G. A.; Calandrino, A.; Pescio, M.; Issa, E.; Rossi, P.; Chessa, M.; Solari, F.; Chirico, M.; Casadio, M.","The first minute of life, the Golden Minute, has been defined as a critical window in which fundamental physiological processes occur for establishing spontaneous ventilation in a newborn. Resuscitation is more likely to succeed if it is performed properly and at the right time. In this scenario, simulation is an appropriate tool for training and evaluating the abilities of all staff working in the delivery room, as well as students. As simulations require a high degree of immersivity in order to be effective, the use of technologies like Virtual (VR) and mixed reality (MR) have garnered more interest in training. Currently, some VR and MR applications have been developed for adult life support training, but neonatal tools are still missing. To overcome this limitation, we present RiNeo MR, a prototype of a MR simulator for neonatal resuscitation training. The simulator consists of (i) a sensorized physical model of the newborn that allows monitoring chest compressions; (ii) a VR head mounted display that allows visualizing a virtual 3D model of the manikin and scenarios of the delivery and operating rooms. This enables students, and healthcare providers to be immersed in realistic hospital settings while performing life support procedures on the newborn manikin. Clinical Relevance-The newborn life support training (NLS) in facilities reduces term intrapartum-related deaths by 30%.",2021,1-Nov,Annual International Conference of the IEEE Engineering in Medicine and Biology Society,IEEE Engineering in Medicine and Biology Society. Annual International Conference. 2021,,5043-5046,636875519,,,#4249,Ricci 2021,,
Virtual coach: the next tool in functional endoscopic sinus surgery education,"Richards, J. P.; Done, A. J.; Barber, S. R.; Jain, S.; Son, Y. J.; Chang, E. H.","Backgound: Functional endoscopic sinus surgery (FESS) can be challenging as novices become accustomed to handling endoscopes and instruments while navigating complex sinonasal anatomy. Experts demonstrate fluid and efficient motions when addressing pathology. The training process from novice to expert relies on hands-on experience in cadaveric laboratories and preceptorship models that require significant time and expense. This study aims to validate the use of a virtual coach to guide users step-by-step through a basic FESS. Method(s): Seventeen surgeons were grouped into novice (n = 10) and expert (n = 7) based on self-reported levels of surgical experience. Users were trained using the maxillary antrostomy module in the Neurorhinological Surgery (NRS) simulator combining the physical craniofacial model with virtual reality (VR)-tracked surgical instruments in the VR operating room. The virtual coach guided the user using surgical videos, auditory, and visual cues. The coach recorded data for each subject including the number of times borders of the nasal cavity were encountered and time to completion. Users graded the usefulness of the virtual coach on a Likert questionnaire. Result(s): Face validity of our NRS simulator was replicated by user questionnaires, and construct validity replicated by differentiation between novice and expert level surgeons (p < 0.01). Novices contacted a significantly higher number of anatomic borders (n = 17) and had a longer operative time (t = 370 seconds). All users reported high scores on the benefit and usefulness of the virtual coach. Conclusion(s): The virtual coach provides a useful tool to enhance FESS education by providing objective real-time data in a novel mixed-reality surgical environment. Copyright © 2019 ARS-AAOA, LLC",2020,1-Jan,International Forum of Allergy and Rhinology,10(1),,97-102,2003850628,,,#4252,Richards 2020,,
Effective instructional design template for virtual simulations in nursing education,"Rim, D.; Shin, H.","BACKGROUND: Virtual-reality simulation (VRS) is an innovative teaching method in nursing education. However, information regarding the educational elements that should be included in the associated instructional design, and the technology necessary for its optimal implementation, is limited. OBJECTIVE(S): To develop an effective template for VRS-based nursing education, and to evaluate its usability. DESIGN: A methodological study. SETTING: Multimedia room in university. PARTICIPANTS: Sixteen undergraduate nursing students. METHOD(S): First, we developed a template, which was validated by content experts. The template was then modified based on the experts' feedback, and was then applied in three VRS scenarios. RESULT(S): The developed template consisted of educational elements, virtual elements, and scenario outlines. The educational elements were learning target, learning objectives, instructional design, course flow, feedback strategies, follow-up and evaluation, debriefing structures, and human resources. The virtual elements were virtual framework, degree of virtuality, and virtual resources. The scenario outline included scenario target, learning objectives, evaluation, course flow, associated knowledge and skill, setting, scenario background, protocols, nursing intervention, algorithm and storyboard, documentation forms, mechanical supports, scenario characters, accessory items, and debriefing components. Three VRS scenarios were developed using this template. Students in focus group interviews described their learning experience. CONCLUSION(S): The template can help educators administer effective VRS-based nursing education; however, the technical level of the platform used should be considered. Copyright © 2020 Elsevier Ltd. All rights reserved.",2021,1-Jan,Nurse education today,96,,104624,633263483,,,#4260,Rim 2021,,
